Animal Name,Animal Type,Description,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBFAMILY,SUBORDER,SUPERFAMILY,SUBCLASS,INFRACLASS,SUPERORDER,CONTINENTS,SUBCONTINENTS,COUNTRIES,BIOGEOGRAPHICAL REALMS,WWF BIOMES,INTRODUCED COUNTRIES,OCEANS,REGIONS,Distribution Info,Population threats,Population number,Ecological niche,Conservation,POPULATION TREND,POPULATION STATUS
Rufous coucal,,"The rufous coucal (Centropus unirufus ) is a species of cuckoo in the family Cuculidae.It is found in Luzon and proximate islands in the Philippines.
Its natural habitat is subtropical or tropical moist lowland forest.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Cuculidae,Centropus,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
White-vented shama,,"The white-vented shama (Copsychus niger ) is a species of bird in the chat and flycatcher family Muscicapidae. It is endemic to the Palawan, Balabac and Calamian in the Philippines. The species is sometimes placed in the genus Kittacincla, and is the sister species to the black shama of Cebu.
The white-vented shama is 18 to 21 cm (7.1–8.3 in) long and has almost entirely black plumage except for white undertail coverts and four white feathers on the outer edge of the tail. Little is known about the species, which lives in primary on degraded rainforest and scrub.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Coraciiformes,Muscicapidae,Kittacincla,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Winchell's kingfisher,Rufous-lored kingfisher,"Winchell's kingfisher (Todiramphus winchelli ) or the rufous-lored kingfisher, is a species of bird in the family Alcedinidae, the kingfishers. It is endemic to the Philippines, its natural habitat being lowland forests. It is threatened by deforestation, and the International Union for Conservation of Nature (IUCN) has assessed it as a vulnerable species.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Alcedinidae,Todiramphus,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Red-eared parrotfinch,,The red-eared parrotfinch (Erythrura coloria ) is a species of estrildid finch endemic to Mindanao in the Philippines.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Estrildidae,Erythrura,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Yellow-wattled bulbul,,"The yellow-wattled bulbul (Poliolophus urostictus ) is a species of songbird in the bulbul family of passerine birds. It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forests.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Piciformes,Pycnonotidae,Poliolophus,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Buff-spotted flameback,,"The buff-spotted flameback (Chrysocolaptes lucidus ) is a species of bird in the family Picidae. It is found on the Philippine islands of Bohol, Leyte, Samar, Biliran, Panaon, Mindanao, Basilan, and Samal. It is sometimes considered a subspecies of the greater flameback.",Animalia,Chordata,Vertebrata,Aves,Strigiformes,Picidae,Chrysocolaptes,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Mindanao scops owl,,The Mindanao scops owl (Otus mirus ) is an owl endemic to Mindanao island in the Philippines.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Strigidae,Otus,,,Muroidea,,,,,,,,,,,,,,,,,Stable,Least concern (LC)
Blue-headed fantail,,"The blue-headed fantail (Rhipidura cyaniceps ) is a fantail endemic to the northern Philippines where it is found on the islands of Luzon and Catanduanes. Until recently, it was considered conspecific with the Tablas fantail and Visayan fantail.",Animalia,Chordata,Vertebrata,Aves,Piciformes,Rhipiduridae,Rhipidura,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Luzon flameback,,"The Luzon flameback (Chrysocolaptes haematribon ) is a species of bird in the family Picidae. It is found on the northern islands of Luzon, Polillo, Catanduanes and Marinduque, Philippines. It is sometimes considered a subspecies of the greater flameback.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Picidae,Chrysocolaptes,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Flaming sunbird,,"The flaming sunbird (Aethopyga flagrans ) is a species of bird in the family Nectariniidae.It is endemic to the northern Philippines.
Its natural habitat is subtropical or tropical moist lowland forests.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Nectariniidae,Aethopyga,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Rufous paradise flycatcher,,The rufous paradise flycatcher (Terpsiphone cinnamomea ) is a species of bird in the family Monarchidae.It is found in Indonesia and the Philippines.Its natural habitat is subtropical or tropical moist lowland forests.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Monarchidae,Terpsiphone,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Grey-backed tailorbird,,"The grey-backed tailorbird (Orthotomus derbianus ) is a species of bird formerly placed in the ""Old World warbler"" assemblage, it but now placed in the family Cisticolidae. It is native to the Philippine islands of Palawan, Luzon and Catanduanes.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Cisticolidae,Orthotomus,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Yellow-bellied whistler,Philippine whistler,"The yellow-bellied whistler (Pachycephala philippinensis ), or Philippine whistler, is a species of bird in the family Pachycephalidae that is endemic to the Philippines.
Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Pachycephalidae,Pachycephala,,,Muroidea,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Lina's sunbird,,"Lina's sunbird (Aethopyga linaraborae ) is a species of bird in the family Nectariniidae It is endemic to mountains in the island of Mindanao in the Philippines. It is one of the most striking sunbirds in the country with the males having iridescent blue color and orange spot on its yellow breast. It is named after Dioscoro S. Rabor's wife, Lina. Its natural habitat is r tropical moist montane forest above 1000 m. It is threatened by habitat loss",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Nectariniidae,Aethopyga,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Lovely sunbird,,The lovely sunbird (Aethopyga shelleyi ) is a bird species in the family Nectariniidae. It is endemic to the Philippines.Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Nectariniidae,Aethopyga,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Stripe-breasted rhabdornis,"Stripe-breasted creeper, Plain-headed creeper","The stripe-breasted rhabdornis (Rhabdornis inornatus ), also known as the stripe-breasted creeper or plain-headed creeper, is a species of bird currently placed in the starling family, Sturnidae. It is endemic to the southern and central Philippines. The Visayan rhabdornis (R. rabori ) is now usually considered a distinct species, where previously it was considered a subspecies. The grand rhabdornis (R. grandis ) of Luzon Island is sometimes regarded as a subspecies, but usually now considered a distinct species as well.",Animalia,Chordata,Vertebrata,Aves,Apodiformes,Sturnidae,Rhabdornis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Endangered (EN)
Palawan swiftlet,,"The Palawan swiftlet (Aerodramus palawanensis ) is a species of swift in the family Apodidae. Some taxonomists consider it to be a subspecies of the uniform swiftlet. It is endemic to the Philippines. It uses echolocation to navigate and hunt in the darkness.
Its natural habitat is subtropical or tropical moist lowland forests.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Strigiformes,Apodidae,Aerodramus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Romblon hawk-owl,Romblon boobook,"The Romblon hawk-owl (Ninox spilonotus ) or Romblon boobook, is a species of owl in the family Strigidae that is endemic to the Philippines only found in the islands of Tablas, Sibuyan and Romblon. It was previously known as a subspecies of the Philippine hawk-owl, but was reclassified in 2012, as voice and other evidence suggested it a distinct species. Its natural habitats are r tropical moist lowland forest. It is threatened by habitat loss.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Strigidae,Ninox,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Pale spiderhunter,,The pale spiderhunter (Arachnothera dilutior ) is a species of bird in the family Nectariniidae. It is found in Palawan. It was originally considered a subspecies of the little spiderhunter.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Nectariniidae,Arachnothera,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Trilling tailorbird,Green-backed tailorbird,"The trilling tailorbird or green-backed tailorbird (Orthotomus chloronotus ) is a species of bird formerly placed in the ""Old World warbler"" assemblage, but now placed in the family Cisticolidae. The bird is endemic to the northern Philippines.
Its natural habitats are tropical moist lowland forests and tropical mangrove forests.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Cisticolidae,Orthotomus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
White-lored oriole,,"The white-lored oriole (Oriolus albiloris ) is a species of bird in the family Oriolidae.
It is endemic to Luzon island (Philippines). Some authorities have considered the white-lored oriole to be a subspecies of the Philippine oriole.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Oriolidae,Oriolus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Near Threatened (NT)
Black-and-cinnamon fantail,,"The black-and-cinnamon fantail (Rhipidura nigrocinnamomea ) is a species of bird in the fantail family Rhipiduridae. It is endemic to the island of Mindanao in the Philippines. There are two subspecies, the nominate R. n. nigrocinnamomea, from central and southern Mindanao; and R. n. hutchinsoni in north, western and eastern Mindanao. The specific name is derived from Latin niger for black, and cinnamomeus for cinnamon.
The Black-and-cinnamon fantail is 16 cm (6.3 in) long and weighs 10.5–14.5 g (0.37–0.51 oz). The nominate subspecies has a black head with a prominent white eyebrow, the back, rump and tail are cinnamon coloured, the wings are black and cinnamon, the breast is white and the belly is orange-cinnamon. The subspecies R. n. hutchinsoni is similar to the nominate but lacks the white on the breast.
The Black-and-cinnamon fantail inhabits mid-montane forest from 980–2,440 m (3,220–8,010 ft). It feeds on insects. The species is not considered threatened in spite of having a small range, and is common where it occurs.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Rhipiduridae,Rhipidura,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Palawan blue flycatcher,,"The Palawan blue flycatcher (Cyornis lemprieri ) is a species of bird in the family Muscicapidae.It is endemic to the Philippines.
Its natural habitat is subtropical or tropical moist lowland forests.It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Muscicapidae,Cyornis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
White-eared tailorbird,,"The white-eared tailorbird (Orthotomus cinereiceps ) is a species of bird formerly placed in the ""Old World warbler"" assemblage, it but now placed in the family Cisticolidae.It is found in the Philippine islands of Basilan and West Mindanao.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Cisticolidae,Orthotomus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Black-headed tailorbird,,"The black-headed tailorbird (Orthotomus nigriceps ) is a songbird species in the family Cisticolidae. It was formerly included in the ""Old World warbler"" assemblage.
It is native to the southeastern Philippines : eastern Mindanao, Dinagat and Siargao.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Cisticolidae,Orthotomus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Grey-throated sunbird,,"The grey-throated sunbird (Anthreptes griseigularis ) is a species of bird in the family Nectariniidae. It is found in a wide range of semi-open wooded habitats in the northern and eastern part of the Philippines. It is often considered a subspecies of the brown-throated sunbird, but the two differ consistently in measurements and plumage, and there is no evidence of intergradation between them.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Nectariniidae,Anthreptes,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Philippine leaf warbler,,The Philippine leaf warbler (Phylloscopus olivaceus ) is a species of Old World warbler in the family Phylloscopidae.It is found in the southern half of the Philippines.,Animalia,Chordata,Vertebrata,Aves,Piciformes,Phylloscopidae,Phylloscopus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Northern sooty woodpecker,,"The northern sooty woodpecker (Mulleripicus funebris ) is a species of bird in the family Picidae.It is endemic to Luzon, Marinduque, Catanduanes and the Polillo Islands in the Philippines.
Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests.
The northern sooty woodpecker was once considered conspecific with the southern sooty woodpecker and both were lumped together as Mulleripicus funebris and known simply as the ""sooty woodpecker"".
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Picidae,Mulleripicus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Black-bibbed cicadabird,Black-bibbed cuckooshrike,"The black-bibbed cicadabird or black-bibbed cuckooshrike (Edolisoma mindanense ) is a species of bird in the family Campephagidae. It is endemic to the Philippines. The species is elusive and poorly known.
The black-bibbed cicadabird is thought to be restricted to tropical moist lowland forest. It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Campephagidae,Edolisoma,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Long-tailed bush warbler,,"The long-tailed bush warbler (Locustella caudata ) is a species of grass warbler (family Locustellidae). It was formerly included in the ""Old World warbler"" assemblage.
It is found only in the Philippines.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Locustellidae,Locustella,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Endangered (EN)
Blue-breasted blue flycatcher,Blue-breasted flycatcher,"The blue-breasted blue flycatcher (Cyornis herioti ), also known as the blue-breasted flycatcher, is a species of bird in the family Muscicapidae. It is endemic to the Philippines. Its natural habitat is subtropical or tropical moist lowland forests.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Muscicapidae,Cyornis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
White-throated jungle flycatcher,Negros jungle flycatcher,"The white-throated jungle flycatcher (Vauriella albigularis ), also known as the Negros jungle flycatcher is a species of bird in the Old World flycatcher family Muscicapidae.It is endemic to the Philippines (Negros and Panay islands) and formerly on Guimaras before its extirpation there. The natural habitats of the white-throated jungle flycatcher are tropical moist lowland forests and tropical moist montane forests up to 1,350 masl. It is threatened by habitat loss.
This species was previously placed in the genus Rhinomyias but was moved to Vauriella after a detailed molecular phylogenetic study published in 2010 found that Rhinomyias was polyphyletic.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Muscicapidae,Vauriella,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Striated wren-babbler,,The striated wren-babbler (Ptilocichla mindanensis ) is a species of passerine bird in the family Pellorneidae. It is endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Pellorneidae,Ptilocichla,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Lemon-throated leaf warbler,,"The lemon-throated leaf warbler (Phylloscopus cebuensis ) is a species of Old World warbler in the family Phylloscopidae.
It is found in the Philippines (Cebu, Negros and Luzon).",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Whiskered flowerpecker,,"The whiskered flowerpecker (Dicaeum proprium ) is a species of bird in the family Dicaeidae. It is endemic to the island of Mindanao in the Philippines.
Its natural habitat is subtropical or tropical moist montane forest. It is becoming rare due to habitat loss.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Dicaeidae,Dicaeum,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Olive-capped flowerpecker,,The olive-capped flowerpecker (Dicaeum nigrilore ) is a species of bird in the family Dicaeidae. It is endemic to the island of Mindanao in the Philippines.Its natural habitat is tropical moist montane forest.,Animalia,Chordata,Vertebrata,Aves,Passeriformes,Dicaeidae,Dicaeum,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Palawan striped babbler,,"The Palawan striped babbler (Zosterornis hypogrammicus ) is a species of bird in the family Zosteropidae. It is endemic to the Philippines, where it is only found in Palawan.
Its natural habitat is tropical moist montane forest. It is threatened by habitat loss.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Zosteropidae,Zosterornis,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Near Threatened (NT)
Slaty-backed jungle flycatcher,,"The slaty-backed jungle flycatcher (Vauriella goodfellowi ) is a species of birds in the Old World flycatcher family Muscicapidae. It is endemic to the Philippines. The specific epithet honours the British zoological collector Walter Goodfellow. Its natural habitat is subtropical or tropical moist montane forests. It is becoming rare due to habitat loss.
This species was previously placed in the genus Rhinomyias but was moved to Vauriella after a detailed molecular phylogenetic study published in 2010 found that Rhinomyias was polyphyletic.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Muscicapidae,Vauriella,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Endangered (EN)
Visayan pygmy babbler,,"The Visayan pygmy babbler (Dasycrotapha pygmaea ) is a bird species endemic to the Philippines (Leyte and Samar). It belongs to the genus Dasycrotapha. It was placed in the family Timaliidae, but recently found to be better placed in the family Zosteropidae.
It was formerly included with the Mindanao pygmy babbler (D. plateni ) under the common name of ""pygmy babbler"".
Its natural habitats are subtropical or tropical moist lowland forests and subtropical or tropical moist montane forests. It is becoming rare due to habitat loss.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Bucerotiformes,Zosteropidae,Dasycrotapha,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Critically endangered (CR)
Visayan hornbill,,"The Visayan hornbill (Penelopides panini ) is a hornbill found in rainforests on the islands of Panay, Negros, Masbate, and Guimaras, and formerly Ticao, in the Philippines. It formerly included all other Philippine tarictic hornbills as subspecies, in which case the common name of the 'combined species' was shortened to tarictic hornbill.",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Bucerotidae,Penelopides,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Critically endangered (CR)
Negros fruit dove,,"The Negros fruit dove (Ptilinopus arcanus ) is a species of bird in the pigeon and dove family, Columbidae. It is endemic to the island of Negros in the Philippines. This fruit dove is known from a single female specimen collected from the slopes of Mount Kanlaon in the northern part of the island. While it was found at a high elevation, it is suspected that the species originally lived in the lowland dipterocarp forests and was driven to higher elevations by habitat destruction. While some have suggested that the specimen is either a runt or a hybrid instead of a valid species, this is not widely accepted. The female Negros fruit dove was a small fruit dove with vivid dark green plumage and an ashy-grey forehead. It had a distinctive ring of bare yellow skin around its eye, and yellow fringes to some of its feathers gave it the appearance of having a yellow wingbar when perched. The throat was white, while the undertail and vent were yellow.
The original specimen was shot along with a bird suspected to be its mate from a fruiting tree. Nothing else is known about its behavior. The species has not been definitively reported since its original discovery in 1953, and as several searches of Mount Kanlaon and the surrounding forests have not discovered any sign of the bird, many believe that it may be extinct. However, a local hunter from southern Negros claimed to have shot it the nineties, and the discovery of many species formerly thought endemic to Negros on the nearby island of Panay have given some hope that the species may persist. As such, it is currently listed as Critically Endangered by the IUCN. Any surviving population would be very small, likely numbering fewer than 50 individuals, and would be threatened by habitat destruction and hunting.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Columbidae,Ptilinopus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Sulu bleeding-heart,,"The Sulu bleeding-heart (Gallicolumba menagei ) is a species of bird in the pigeon and dove family, Columbidae. It is endemic to the island of Tawi-Tawi and its surrounding islets in the Philippines' Sulu Archipelago. This species is known only from two specimens collected in 1891, and has not been recorded with certainty since. It lives in primary and secondary forests that have a closed canopy. The Sulu bleeding-heart is a medium-sized pigeon with a short tail. Bright metallic green feathers stretch from the forehead and crown down to the mantle and sides of the breast, where they surround a large, pale orange breast spot with diffuse edges that gives the species the name ""bleeding-heart"". The lower wings and back are varying shades of brown, and the throat and chest are largely white. The belly is an ashy-gray.
Like other bleeding-hearts, the Sulu bleeding-heart is primarily a sedentary bird, feeding on the forest floor and flying only for short distances. Little is known about its behavior due to the paucity of sightings. Searches of Tawi-Tawi in 1971 and 1991 did not discover any evidence of the species' continued existence. Most of the bird's habitat was logged on Tawi-Tawi by 1994. However, an ethnobiological survey in 1995 revealed that the bleeding-heart was common until the 1970s and still survives on small islets near Tawi-Tawi. While another survey in 2009 failed to find the species, there is some hope that it may still persist. For this reason, it is currently listed as critically endangered by the IUCN. Any surviving population would be very small, likely numbering fewer than 50 individuals, and would be threatened by habitat destruction and uncontrolled hunting.
SHOW LESS",Animalia,Chordata,,Aves,Passeriformes,Columbidae,Gallicolumba,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Least concern (LC)
Elegant tit,,The elegant tit (Pardaliparus elegans ) is a species of bird in the tit family Paridae endemic to the Philippines.,Animalia,Chordata,Vertebrata,Aves,Falconiformes,Paridae,Pardaliparus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Philippine falconet,,"The Philippine falconet (Microhierax erythrogenys ) is a species of bird of prey in the family Falconidae, genus Microhierax. It is endemic to the lowland forests of Philippines, and can often be seen near open forest edges hunting flying insects. Philippine falconets nest in woodpecker holes of dead trees, and can be seen fairly commonly within their suitable habitats. Although the Philippine falconet population is declining due to habitat loss, it is still evaluated as ""Least Concern"" globally.",Animalia,Chordata,Vertebrata,Aves,Gruiformes,Falconidae,Microhierax,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Calayan rail,,"The Calayan rail (Gallirallus calayanensis ) is a flightless bird of the rail, moorhen, and coot family (Rallidae) that inhabits Calayan Island in the Philippines. Though well known to natives of the island as the ""piding"", it was first observed by ornithologist Carmela Española in May 2004 and the discovery was officially announced on August 16, 2004. The formal description as a species new to science appeared in the journal Forktail (Allen et al. 2004).
It is one of the two extant species of the genus Gallirallus along with the weka of New Zealand. All other species in the genus were distributed throughout many Pacific islands but were wiped out in the Quaternary extinction event. Many extant rails were also formerly classified in the genus, but most have since been moved to the genus Hypotaenidia.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Columbiformes,Rallidae,Gallirallus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Stable,Vulnerable (VU)
Philippine collared dove,,"The Philippine collared dove (Streptopelia dusumieri ) is a species of bird in the family Columbidae. It was formerly considered a subspecies of the island collared dove (S. bitorquata ).
The species occurs in the Philippines where it is called locally as bato-bato de collar. It has also been introduced into Guam and the Northern Mariana Islands, although the population on Guam has been severely reduced by introduced brown tree snakes. Its natural habitats are open grassland and agricultural land with trees and scrub. It was formerly considered a subspecies of the island collared dove.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Strigiformes,Columbidae,Streptopelia,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Giant scops owl,"Lesser eagle-owl, Mindanao eagle-owl","The giant scops owl (Otus gurneyi ), lesser eagle-owl or the Mindanao eagle-owl, is a species of owl in the family Strigidae. It is endemic to the Philippines. In size and structure, it is considered intermediate between a scops owl and an eagle-owl. Its natural habitat is tropical moist lowland forests. It is threatened by habitat loss.",Animalia,Chordata,Vertebrata,Aves,Passeriformes,Strigidae,Otus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Endangered (EN)
Philippine bulbul,,"The Philippine bulbul (Hypsipetes philippinus ) is a songbird species in the bulbul family, Pycnonotidae.
It is endemic to the Philippines. Its natural habitats are subtropical or tropical moist lowland forest and subtropical or tropical moist montane forest; on Mount Kitanglad on Mindanao, for example, it is abundant in any kind of primary forest at least between 500 and 2,250 m ASL.",Animalia,Chordata,Vertebrata,Aves,Accipitriformes,Pycnonotidae,Hypsipetes,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Critically endangered (CR)
Pinsker's hawk-eagle,"South philippine hawk-eagle, Mindanao hawk-eagle","Pinsker's hawk-eagle (Nisaetus pinskeri ), south Philippine hawk-eagle or Mindanao hawk-eagle, is a species of bird of prey in the family Accipitridae.It is endemic to the Philippines native to the islands of Leyte, Samar, Negros, Basilan, Bohol and Mindanao.It is found in primary moist lowland forest and tropical moist montane forest. up to 1,900 m. It is threatened by habitat loss and hunting. IUCN estimates just 600-800 mature birds left.",Animalia,Chordata,Vertebrata,Aves,Psittaciformes,Accipitridae,Nisaetus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Blue-winged racket-tail,Sulu racquet-tail,The blue-winged racket-tail or Sulu racquet-tail (Prioniturus verticalis ) is a species of parrot in the family Psittaculidae.It is endemic to Tawi-Tawi island in the Philippines and is one of the most endangered parrots in the world. It is threatened by habitat loss and the poaching for the cage-bird trade.,Animalia,Chordata,Vertebrata,Aves,Caprimulgiformes,Psittacidae,Prioniturus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Vulnerable (VU)
Philippine nightjar,,"The Philippine nightjar (Caprimulgus manillensis ) is a species of nightjar in the family Caprimulgidae. It is endemic to the Philippines. Its local names are kandarapa (Tagalog) and tagolilong (Cebuano).
Its natural habitats are subtropical or tropical moist lowland forest, subtropical or tropical mangrove forest, and subtropical or tropical moist montane forest.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Psittaciformes,Caprimulgidae,Caprimulgus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Near Threatened (NT)
Blue-headed racket-tail,Palawan racket-tail,"The blue-headed racket-tail (Prioniturus platenae ), also known as the Palawan racket-tail and locally as kinawihan, is a parrot found in the western Philippines around Palawan. The species was formerly considered conspecific with the blue-crowned racket-tail. It is locally known as 'kilit'. It inhabits humid lowland forest in small flocks. It is threatened by habitat destruction and limited trapping for the cage-bird trade.",Animalia,Chordata,Vertebrata,Aves,Psittaciformes,Psittacidae,Prioniturus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Mindanao lorikeet,Mount apo lorikeet,"The Mindanao lorikeet or Mount Apo lorikeet (Saudareos johnstoniae ) is a species of parrot in the family Psittaculidae. There are two very similar subspecies, which are both endemic to Mindanao, Philippines.
Its natural habitat is subtropical or tropical moist montane forests.It is threatened by habitat loss and trapping for the illegal wildlife trade. IUCN estimates the population to be as low as 1,500 individuals with it going locally extinct in areas of its range.
SHOW LESS",Animalia,Chordata,Vertebrata,Aves,Coraciiformes,Psittaculidae,Trichoglossus,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,Decreasing,Least concern (LC)
Indigo-banded kingfisher,,"The Indigo-banded kingfisher (Ceyx cyanopectus ) is a species of bird in the family Alcedinidae. It is endemic to the Philippines, where it is generally uncommon but locally widespread in the northern and central islands.",Animalia,Chordata,Vertebrata,Aves,Gruiformes,Alcedinidae,Ceyx,,,,,,,Asia,,Philippines,Indomalayan,,,,,,,,,,,Least concern (LC)
